symbol,mean,median,std,min,max
IMOEXF,1141496.9788121518,1070484.9305895704,247108.97352745372,669868.1174164035,1649337.5210169249
USDRUBF,1185665.8244681726,1212384.8183905408,383360.9779662116,407786.6930898527,1665857.5830433408
CNYRUBF,12431284.465426974,12948159.040026113,2097242.5342655564,6192455.523773128,16271703.83006235
EURRUBF,96743.55797935979,79480.98223715795,37770.666520228704,54782.6148793735,188963.81705298013
GLDRUBF,1396400.322489569,1398532.6950073899,225169.48767272438,927768.2512820513,1844064.5236842106
GAZPF,230245.45595559644,247268.77523169367,79608.5166515113,82892.61162177284,342903.7399715505
SBERF,96993.41986402,89114.40747842762,29614.17717141819,51793.93602225313,176842.07981687898
