symbol,mean_volume,mean_trades
IMOEXF,731038.2210526316,48442.17192982456
USDRUBF,152733.42352941175,22092.631372549018
CNYRUBF,2146997.839215686,41476.98823529412
EURRUBF,9598.474509803922,2536.274509803922
GLDRUBF,397766.9052631579,25884.56842105263
GAZPF,30507.277192982456,4243.99649122807
SBERF,15869.101754385965,3096.557894736842
