symbol,mean,median,std,min,max
IMOEXF,0.4978262036322283,0.49718279497590195,0.03770028541073755,0.31932540779651647,0.671558120362737
USDRUBF,0.49029988156359333,0.4905245255513862,0.038472055227550594,0.3498839212162061,0.6417929556680121
CNYRUBF,0.48798312806046906,0.4899915184375072,0.04797237416277913,0.3111589824278858,0.7103349319329958
EURRUBF,0.48295247726477697,0.48129216929053364,0.09437278098461323,0.1727979274611399,0.6823223177908556
GLDRUBF,0.5045373727731931,0.5014195502560999,0.05344885492651841,0.2572560433341418,0.7513117371963043
GAZPF,0.49130333525188913,0.4908733948848562,0.08067938117604292,0.19246519246519248,1.0
SBERF,0.4868321310519732,0.4952303396928804,0.08180490260119792,0.07412790697674419,0.8269230769230769
