symbol,mean,median,std,min,max
IMOEXF,48442.17192982456,44492.0,26848.07549025061,1663,148639
USDRUBF,22092.631372549018,20179.0,9201.52852830874,862,71924
CNYRUBF,41476.98823529412,38885.0,18457.589414545004,1218,124446
EURRUBF,2536.274509803922,2270.0,1228.9148352832212,106,7917
GLDRUBF,25884.56842105263,24747.0,15670.764634120866,396,99828
GAZPF,4243.99649122807,3983.0,2535.412344576302,35,21435
SBERF,3096.557894736842,2961.0,1877.475453502014,60,15254
