,mean,mean,median,median,std,std
group,large-move,normal,large-move,normal,large-move,normal
metric,,,,,,
mean_open_pos,2184799.2338246736,2277396.96007554,854999.0934107166,940370.0172429658,3984136.045798446,4128776.7584547815
num_trades,33357.84020618557,19748.340375586853,27644.5,13680.0,31911.525169161097,20860.943875780897
total_volume,745881.9845360825,457158.85504694836,188210.5,98326.5,1145493.5594008795,780661.3875428007
volume_per_trade,14.471418105707905,14.508908531592208,8.678009260502147,8.32991652790151,15.56053358301029,16.067171678702394
