symbol,mean_buy_share,mean_imbalance
IMOEXF,0.4978262036322283,0.02599734474465183
USDRUBF,0.49029988156359333,0.029731339921292947
CNYRUBF,0.48798312806046906,0.036142403356152625
EURRUBF,0.48295247726477697,0.07620735157039747
GLDRUBF,0.5045373727731931,0.0382454536961178
GAZPF,0.49130333525188913,0.0601197233820738
SBERF,0.4868321310519732,0.05800918120690037
