symbol,num_deals,total_volume,min_price,max_price,mean_open_pos,max_open_pos,buy_count,sell_count,buy_volume,sell_volume,num_trading_days,std_close_price,mean_price,mean_volume,buy_share_cnt,buy_share_vol,has_direction
IMOEXF,13806019,208345893,2454.5,3384.0,1141496.9788121518,1693404,6845945,6960074,103414571,104931322,285,188.32870015468154,2834.6893789585542,15.090946419818776,0.4958666940846597,0.49636001704146865,True
CRM5,13413615,379300520,10.803,14.993,13925802.501576338,28673304,6706626,6706989,186212021,193088499,117,1.2757806815750545,11.633570580935862,28.277277974654858,0.4999864689720109,0.49093531693550013,True
SiZ5,13264137,67285337,75176.0,115381.0,2963795.995004434,11036900,6571113,6693024,32958974,34326363,247,10361.158562364137,81936.1972996811,5.0727263296511484,0.4954044880567805,0.48983887826852973,True
SiM5,11983866,49597439,73406.0,108762.0,5180782.561599642,8755404,5897421,6086445,24052337,25545102,117,9423.601095759284,85982.2197288421,4.138684377812636,0.49211339646154256,0.4849511887095622,True
CRZ5,11781414,476124418,10.65,15.814,9583554.639247369,37418514,5873065,5908349,239946827,236177591,245,1.2374881439527219,11.528203951664885,40.4131811342849,0.49850255665406545,0.5039582468967176,True
CNYRUBF,10576632,547484449,10.603,14.016,12431284.465426974,16416492,5275404,5301228,268645665,278838784,255,0.7848106918729656,11.556608802877891,51.763590621286625,0.4987791954943691,0.49069095111412014,True
CRU5,10127946,370186570,11.152,15.229,11070924.222988965,39020362,4971098,5156848,180020299,190166271,182,1.2357583887875063,11.488515960886838,36.551001555498026,0.49082982867404706,0.486296137107297,True
SiH5,10087951,39894198,80567.0,106685.0,5839816.656649833,7089920,4992401,5095550,19864711,20029487,55,7631.132852166019,93819.91336714463,3.9546383601585693,0.4948875148184205,0.4979348375420406,True
CRH5,9543826,292906339,11.145,14.475,14079635.245715218,19794618,4768293,4775533,144221152,148685187,55,0.9847142069454797,12.832306296971465,30.69066210972413,0.49962069719209046,0.4923797569297399,True
SiU5,9216030,47301422,77188.0,111346.0,3581694.412791602,10100608,4590977,4625053,23452226,23849196,182,9700.625670699876,82544.76424100182,5.132516061688167,0.4981512646985741,0.49580382593994743,True
GLDRUBF,7377102,113363568,7990.7,11377.4,1396400.322489569,1890276,3729514,3647588,56600336,56763232,285,970.2711283469046,9374.669987970887,15.366951412627886,0.5055527224647294,0.499281532846602,True
MXZ5,7099955,16026704,250400.0,385950.0,148555.64375809295,514744,3544653,3555302,7956723,8069981,251,30001.245918351287,270490.8294806094,2.257296560330312,0.4992500656694303,0.4964665847700188,True
GDZ5,6098201,21328588,2840.2,4383.0,148151.27259617925,692744,3019226,3078975,10488007,10840581,274,413.6076897714475,4044.084686500166,3.4975213181723595,0.4951010962085376,0.49173470836419175,True
MMZ5,5955425,23171414,2504.45,3901.35,128190.29804576297,496994,2959741,2995684,11515637,11655777,272,307.9262165842008,2704.325380380074,3.8908077928947136,0.496982331235806,0.4969760153609961,True
MXM5,5685118,11673339,266725.0,357400.0,193558.50362239464,406180,2817773,2867345,5770553,5902786,117,24061.855967780353,293104.39979873766,2.053315164258684,0.4956401960346294,0.49433611068778177,True
USDRUBF,5633621,38947023,75.34,104.44,1185665.8244681726,1674262,2779361,2854260,18973097,19973926,255,6.92385381715516,83.6607559560716,6.91331969260978,0.493352499218531,0.487151405641453,True
NGZ5,5202088,43402200,3.469,5.471,173010.58022778088,1077960,2594015,2608073,21602956,21799244,114,0.2859178890514115,4.5120104554171325,8.343226796624739,0.4986488117848064,0.49773873213800224,True
NGH5,5195713,40079083,2.943,4.659,239536.68243239622,863992,2577374,2618339,19882992,20196091,60,0.4163906575092878,4.089510869826721,7.713875458478942,0.49605780765796725,0.4960939849846365,True
SVZ5,5117435,52002106,31.67,66.73,198196.7270302246,927318,2591545,2525890,25895912,26106194,273,7.69264908297602,52.01842032580775,10.16175212777495,0.5064148347756249,0.4979781395776548,True
NGJ5,4894716,38551456,2.867,4.689,149023.9742001559,658516,2420658,2474058,19131829,19419627,82,0.4241566867457961,3.7179143231190532,7.8761374510799,0.4945451380631685,0.49626735239260483,True
MMM5,4872273,18468303,2667.65,3570.65,128558.34664437738,327500,2427674,2444599,9158855,9309448,117,239.52307230304115,2927.0822283357275,3.7904901880498074,0.4982631309862974,0.4959229334714727,True
MXU5,4761192,10715189,260825.0,380425.0,165331.6746071698,487836,2364758,2396434,5293532,5421657,190,25633.234732787634,288571.8430752215,2.2505265488138266,0.49667352209278687,0.4940213373744504,True
NGN5,4563028,37238823,2.986,4.895,130503.90936481953,910960,2246688,2316340,18317603,18921220,130,0.39047644826388356,3.4969719405622754,8.160989369339832,0.4923677873552387,0.49189532655207713,True
GDM5,4487127,13023807,2708.9,3470.0,202236.12944818646,497994,2232088,2255039,6473256,6550551,118,199.7778243441119,3240.808068993813,2.9024823678937546,0.49744257294255323,0.4970325496991778,True
MXH5,4373951,10091322,285100.0,343400.0,305911.6894686817,387768,2178114,2195837,5045969,5045353,55,14964.307113051978,316481.520643464,2.307141072225089,0.4979740285156372,0.500030521273625,True
NGG5,4369326,38110522,2.95,4.438,303146.6324886831,761060,2183987,2185339,19203176,18907346,39,0.355881805729266,3.5842661371570808,8.722288517725618,0.49984528506227277,0.5038812115982038,True
MMU5,4334023,18160603,2633.4,3703.4,140573.24255606005,480300,2149104,2184919,8968919,9191684,192,253.59121061852,2890.799961063889,4.190241491565689,0.49586815759860986,0.49386680607466615,True
NGV5,4256759,44345169,2.906,4.452,157246.5779622411,849924,2119048,2137711,22003504,22341665,149,0.3708814903740149,3.295922372396464,10.41758976723841,0.497807839250472,0.4961871720457306,True
NGU5,4252465,41234607,2.777,4.872,178351.08286671573,991504,2130382,2122083,20824556,20410051,141,0.4733901232752854,3.0027032763350197,9.696636421463786,0.5009757869847253,0.505026178617393,True
NGQ5,4162415,34556894,2.635,4.863,213674.3800742655,1473438,2062999,2099416,17127505,17429389,136,0.5288530310831517,3.0607415930415396,8.30212604942083,0.49562549625638,0.4956320727204245,True
