date,symbol,open_price,high_price,low_price,close_price,avg_price,total_volume,num_trades,mean_open_pos,max_open_pos,buy_volume,sell_volume,buy_count,sell_count,asset_class,daily_return,abs_return,price_range,relative_range,volume_per_trade,buy_share,direction_imbalance,normalized_close,month,weekday,weekday_name
2024-12-30,CNYRUBF,13.739,13.759,13.725,13.741,13.739148604269294,24749,1218,6405094.934318555,6410434,8881,15868,552,666,Currency (CNY/RUB),,,0.034000000000000696,0.24743468452078232,20.31937602627258,0.3588427815265263,0.14115721847347368,100.0,12,0,Monday
2025-01-03,CNYRUBF,13.789,13.857,13.716,13.809,13.809539567321377,402392,14052,6505870.496014802,6556274,185899,216493,6754,7298,Currency (CNY/RUB),0.49486936904155066,0.49486936904155066,0.14100000000000001,1.0210732131218772,28.635923711927127,0.4619848307123402,0.0380151692876598,100.49486936904155,1,4,Friday
2025-01-06,CNYRUBF,13.809,13.836,13.597,13.678,13.673209512771363,703312,22433,6506918.469932688,6566546,345726,357586,10380,12053,Currency (CNY/RUB),-0.948656673184145,0.948656673184145,0.23900000000000077,1.7473314812107086,31.3516694155931,0.49156846463589415,0.008431535364105847,99.54151808456444,1,0,Monday
2025-01-08,CNYRUBF,13.687,13.709,13.545,13.614,13.602322033898306,419191,18467,6551664.945470299,6583026,188412,230779,9212,9255,Currency (CNY/RUB),-0.4679046644246232,0.4679046644246232,0.1639999999999997,1.204642280005874,22.699463908593707,0.44946575665985194,0.050534243340148055,99.0757586784077,1,2,Wednesday
2025-01-09,CNYRUBF,13.616,13.799,13.601,13.644,13.681483904730893,1424939,42994,6653743.374889519,6846608,682417,742522,22210,20784,Currency (CNY/RUB),0.22036139268399868,0.22036139268399868,0.19799999999999862,1.4511873350923383,33.14274084756013,0.47890962349967264,0.021090376500327357,99.29408340004366,1,3,Thursday
2025-01-10,CNYRUBF,13.64,13.762,13.616,13.751,13.703260044893378,1039142,35640,6814383.77704826,6856874,518478,520664,18466,17174,Currency (CNY/RUB),0.7842274992670761,0.7842274992670761,0.1460000000000008,1.0617409642935118,29.15662177328844,0.4989481707023679,0.0010518292976320898,100.07277490721198,1,4,Friday
2025-01-13,CNYRUBF,13.761,13.895,13.745,13.877,13.838871774750455,1230188,31858,6960231.441458974,7046292,654862,575326,17008,14850,Currency (CNY/RUB),0.9162969965820666,0.9162969965820666,0.15000000000000036,1.0809252720328626,38.61472785485592,0.5323267663153924,0.03232676631539244,100.98973873808312,1,0,Monday
2025-01-14,CNYRUBF,13.877,13.986,13.861,13.955,13.944290781167172,650106,20751,6949154.5863813795,6988176,313148,336958,9391,11360,Currency (CNY/RUB),0.5620811414570825,0.5620811414570825,0.125,0.895736295234683,31.32889981205725,0.481687601714182,0.018312398285817988,101.55738301433665,1,1,Tuesday
2025-01-15,CNYRUBF,13.965,14.016,13.892,13.903,13.93560775862069,707193,21344,6921091.143553223,6955822,332121,375072,9137,12207,Currency (CNY/RUB),-0.3726262988176243,0.3726262988176243,0.12400000000000055,0.8918938358627674,33.13310532233883,0.46963275937403226,0.03036724062596774,101.1789534968343,1,2,Wednesday
2025-01-16,CNYRUBF,13.904,13.966,13.868,13.946,13.929468798392834,946215,23893,6795270.897585067,6886782,472595,473620,12829,11064,Currency (CNY/RUB),0.30928576566209287,0.30928576566209287,0.09799999999999898,0.7027104546106338,39.60218474030051,0.49945836834123325,0.0005416316587667502,101.49188559784585,1,3,Thursday
2025-01-17,CNYRUBF,13.945,13.976,13.83,13.866,13.919267047146404,814723,20150,6717387.390868486,6835112,440417,374306,9644,10506,Currency (CNY/RUB),-0.5736411874372571,0.5736411874372571,0.1460000000000008,1.0529352372710283,40.43290322580645,0.5405726854403275,0.04057268544032755,100.90968634014992,1,4,Friday
2025-01-20,CNYRUBF,13.877,13.899,13.78,13.84,13.839992176386913,1020220,29526,6406834.111765902,6567726,539641,480579,16550,12976,Currency (CNY/RUB),-0.18750901485647953,0.18750901485647953,0.11899999999999977,0.8598265895953741,34.55327507959087,0.5289457175903236,0.028945717590323605,100.72047158139874,1,0,Monday
2025-01-21,CNYRUBF,13.845,13.854,13.586,13.609,13.689500015923059,1245423,31401,6192455.523773128,6252598,628468,616955,14709,16692,Currency (CNY/RUB),-1.6690751445086693,1.6690751445086693,0.2679999999999989,1.9692850319641333,39.66188974873412,0.5046221243705954,0.004622124370595393,99.03937122480168,1,1,Tuesday
2025-01-22,CNYRUBF,13.593,13.64,13.527,13.616,13.575917156138518,1255069,27751,6269982.85928435,6346214,573618,681451,14261,13490,Currency (CNY/RUB),0.051436549342342985,0.051436549342342985,0.11300000000000132,0.829905992949481,45.22608194299305,0.45704100730716796,0.04295899269283204,99.09031365985008,1,2,Wednesday
2025-01-23,CNYRUBF,13.616,13.687,13.57,13.663,13.617062401827788,800144,21009,6531749.546004093,6619496,345913,454231,10238,10771,Currency (CNY/RUB),0.3451821386603937,0.3451821386603937,0.1169999999999991,0.8563273073263492,38.0857727640535,0.43231343358195523,0.06768656641804477,99.43235572374645,1,3,Thursday
2025-01-24,CNYRUBF,13.671,13.699,13.471,13.523,13.546294240866182,1600654,36759,6897221.491226639,7086886,752918,847736,17116,19643,Currency (CNY/RUB),-1.0246651540657292,1.0246651540657292,0.22799999999999976,1.6860164164756324,43.544546913681,0.4703814815694085,0.02961851843059149,98.41350702277855,1,4,Friday
2025-01-27,CNYRUBF,13.525,13.58,13.305,13.489,13.417990731869871,2443575,48014,7452561.832465531,7792734,1140955,1302620,24096,23918,Currency (CNY/RUB),-0.25142350070249675,0.25142350070249675,0.27500000000000036,2.0386981985321397,50.89296871745741,0.46692039327624485,0.03307960672375515,98.16607233825778,1,0,Monday
2025-01-28,CNYRUBF,13.485,13.602,13.328,13.376,13.440171317783914,1308314,34042,7834912.186828036,8075260,603662,704652,16731,17311,Currency (CNY/RUB),-0.8377196233968487,0.8377196233968487,0.2740000000000009,2.0484449760765617,38.43234827565948,0.4614045252133662,0.03859547478663378,97.34371588676224,1,1,Tuesday
2025-01-29,CNYRUBF,13.377,13.446,13.311,13.407,13.390724616751832,942603,27006,8082184.380582093,8144402,463809,478794,13910,13096,Currency (CNY/RUB),0.2317583732057482,0.2317583732057482,0.1349999999999998,1.0069366748713342,34.90346589646745,0.49205126654593717,0.007948733454062828,97.56931809911943,1,2,Wednesday
2025-01-30,CNYRUBF,13.408,13.44,13.192,13.207,13.330319247488063,1435978,42099,8087994.753889641,8201738,631915,804063,19324,22775,Currency (CNY/RUB),-1.4917580368464134,1.4917580368464134,0.24799999999999933,1.877792079957593,34.109551295755246,0.44005897026277563,0.05994102973722437,96.11381995487956,1,3,Thursday
2025-01-31,CNYRUBF,13.208,13.399,13.158,13.374,13.297569785062628,1393604,32335,7948154.926426473,8144776,708338,685266,18097,14238,Currency (CNY/RUB),1.2644809570682147,1.2644809570682147,0.24099999999999966,1.8020038881411669,43.098933044688415,0.5082778178019007,0.008277817801900733,97.32916090531985,1,4,Friday
2025-02-03,CNYRUBF,13.374,13.505,13.277,13.326,13.37848352088022,1196719,39990,7994048.666616654,8154880,591582,605137,19196,20794,Currency (CNY/RUB),-0.35890533871690833,0.35890533871690833,0.22800000000000153,1.710941017559669,29.925456364091023,0.4943365986501426,0.005663401349857378,96.97984135070229,2,0,Monday
2025-02-04,CNYRUBF,13.326,13.349,13.251,13.342,13.296376964847099,874104,27992,8251975.651971992,8350884,489246,384858,14903,13089,Currency (CNY/RUB),0.12006603631997681,0.12006603631997681,0.09800000000000075,0.7345225603357873,31.226921977707917,0.5597114302188297,0.05971143021882974,97.09628120224147,2,1,Tuesday
2025-02-05,CNYRUBF,13.345,13.403,12.973,13.005,13.154616284994903,3443855,66724,8662954.475900725,9047388,1944843,1499012,33245,33479,Currency (CNY/RUB),-2.525858192175079,2.525858192175079,0.4299999999999997,3.3064206074586675,51.61343744379833,0.5647284801479737,0.06472848014797372,94.64376682919729,2,2,Wednesday
2025-02-06,CNYRUBF,13.004,13.299,12.857,13.276,13.061400956469758,2533075,55203,8972905.772186294,9196978,1303307,1229768,28648,26555,Currency (CNY/RUB),2.0838139177239423,2.0838139177239423,0.44200000000000017,3.3293160590539337,45.88654602104958,0.514515756540963,0.014515756540963043,96.6159668146423,2,3,Thursday
2025-02-07,CNYRUBF,13.276,13.369,13.175,13.349,13.283130847370451,2100544,38885,8759036.898186961,9314534,827443,1273101,18056,20829,Currency (CNY/RUB),0.5498644169930733,0.5498644169930733,0.19399999999999906,1.453292381451787,54.01939051047962,0.39391843255842296,0.10608156744157704,97.14722363728987,2,4,Friday
2025-02-10,CNYRUBF,13.369,13.386,13.112,13.186,13.221881634855333,1287891,29654,9542308.539960882,9738142,574229,713662,13634,16020,Currency (CNY/RUB),-1.2210652483332085,1.2210652483332085,0.27399999999999913,2.077961474290908,43.430599581843936,0.4458677015368537,0.05413229846314632,95.96099264973438,2,0,Monday
